@relation weather

@attribute MaxTemp numeric
@attribute MeanTemp numeric
@attribute MinTemp numeric
@attribute MaxHumidity numeric
@attribute MeanHumidity numeric
@attribute MinHumidity numeric
@attribute WindSpeed numeric
@attribute CloudCover numeric
@attribute play {yes,no}
@data
29,24,19,100,76,45,23,3,no
29,24,20,100,74,45,14,4,yes
30,23,17,100,73,45,14,2,no
32,24,17,100,57,18,19,3,yes
32,24,17,100,62,24,16,2,yes
33,24,16,100,58,20,19,1,yes
31,24,18,100,61,25,21,3,no
30,24,18,100,67,37,21,3,no
31,24,18,100,73,38,23,3,yes
30,24,20,100,82,40,14,3,yes
32,27,22,73,44,27,13,?,yes
33,26,18,100,64,21,14,3,no
32,26,19,100,58,29,19,2,yes
31,24,19,100,61,29,16,1,yes
31,24,19,100,64,33,13,1,yes
31,26,20,100,69,40,16,2,no
31,26,21,100,69,35,14,2,no
31,24,19,100,65,35,14,2,yes
30,25,20,100,74,40,21,2,no
30,24,19,100,70,43,26,3,no
29,23,18,100,71,40,23,2,no
29,24,19,100,67,40,24,2,no
31,23,17,100,64,33,14,2,yes
31,26,20,100,71,38,14,2,yes
31,24,19,100,66,35,21,2,no
30,23,17,100,64,37,29,1,no
29,23,17,100,69,40,27,2,no
30,23,16,100,64,33,23,1,no
31,24,18,100,67,29,14,3,no
30,24,18,100,69,37,13,2,no
31,23,17,100,58,27,16,1,yes
29,24,19,100,76,45,23,3,no
29,24,20,100,74,45,14,4,no
30,23,17,100,73,45,14,2,yes
32,24,17,100,57,18,19,3,yes
32,24,17,100,62,24,16,2,yes
33,24,16,100,58,20,19,1,no
31,24,18,100,61,25,21,3,yes
30,24,18,100,67,37,21,3,yes
31,24,18,100,73,38,23,3,no
30,24,20,100,82,40,14,3,yes
32,27,22,73,44,27,13,?,no
33,26,18,100,64,21,14,3,yes
32,26,19,100,58,29,19,2,no
31,24,19,100,61,29,16,1,yes
31,24,19,100,64,33,13,1,yes
31,26,20,100,69,40,16,2,no
31,26,21,100,69,35,14,2,no
31,24,19,100,65,35,14,2,yes
30,25,20,100,74,40,21,2,yes
